"filename", "language", "JSON", "YAML", "JSON with Comments", "XML", "Markdown", "HTML", "TypeScript", "CSV", "Skill", "Python", "PowerShell", "Groovy", "JavaScript", "PostCSS", "C#", "ASP.NET Razor", "XAML", "comment", "blank", "total"
"d:\workshops\eShop\.github\skills\bmad-agent-builder\quality-scan-structure.md", "Markdown", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 156
"d:\workshops\eShop\.github\skills\bmad-agent-builder\references\quality-dimensions.md", "Markdown", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 55
"d:\workshops\eShop\.github\skills\bmad-agent-builder\references\script-opportunities-reference.md", "Markdown", 0, 0, 0, 0, 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 355
"d:\workshops\eShop\.github\skills\bmad-agent-builder\references\script-standards.md", "Markdown", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 93
"d:\workshops\eShop\.github\skills\bmad-agent-builder\references\skill-best-practices.md", "Markdown", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 110
"d:\workshops\eShop\.github\skills\bmad-agent-builder\references\standard-fields.md", "Markdown", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 92
"d:\workshops\eShop\.github\skills\bmad-agent-builder\references\template-substitution-rules.md", "Markdown", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 48
"d:\workshops\eShop\.github\skills\bmad-agent-builder\report-quality-scan-creator.md", "Markdown", 0, 0, 0, 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 287
"d:\workshops\eShop\.github\skills\bmad-agent-builder\scripts\generate-html-report.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 486, 0, 0, 0, 0, 0, 0, 0, 19, 30, 535
"d:\workshops\eShop\.github\skills\bmad-agent-builder\scripts\prepass-execution-deps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 249, 0, 0, 0, 0, 0, 0, 0, 43, 46, 338
"d:\workshops\eShop\.github\skills\bmad-agent-builder\scripts\prepass-prompt-metrics.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 298, 0, 0, 0, 0, 0, 0, 0, 46, 60, 404
"d:\workshops\eShop\.github\skills\bmad-agent-builder\scripts\prepass-structure-capabilities.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 325, 0, 0, 0, 0, 0, 0, 0, 49, 72, 446
"d:\workshops\eShop\.github\skills\bmad-agent-builder\scripts\scan-path-standards.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 251, 0, 0, 0, 0, 0, 0, 0, 43, 45, 339
"d:\workshops\eShop\.github\skills\bmad-agent-builder\scripts\scan-scripts.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 589, 0, 0, 0, 0, 0, 0, 0, 65, 92, 746
"d:\workshops\eShop\.github\skills\bmad-agent-dev\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 63
"d:\workshops\eShop\.github\skills\bmad-agent-dev\bmad-skill-manifest.yaml", "YAML", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\workshops\eShop\.github\skills\bmad-agent-pm\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 58
"d:\workshops\eShop\.github\skills\bmad-agent-pm\bmad-skill-manifest.yaml", "YAML", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\workshops\eShop\.github\skills\bmad-agent-qa\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 60
"d:\workshops\eShop\.github\skills\bmad-agent-qa\bmad-skill-manifest.yaml", "YAML", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\workshops\eShop\.github\skills\bmad-agent-quick-flow-solo-dev\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 52
"d:\workshops\eShop\.github\skills\bmad-agent-quick-flow-solo-dev\bmad-skill-manifest.yaml", "YAML", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\workshops\eShop\.github\skills\bmad-agent-sm\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 54
