Date : 2026-04-17 11:48:56
Directory : d:\workshops\eShop
Total : 3265 files,  566445 codes, 4850 comments, 198844 blanks, all 770139 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| _bmad\tea\workflows\testarch\bmad-testarch-automate\steps-c                                                                                 |          9 |      1,522 |          0 |        607 |      2,129 |
| _bmad\tea\workflows\testarch\bmad-testarch-automate\steps-e                                                                                 |          2 |         70 |          0 |         57 |        127 |
| _bmad\tea\workflows\testarch\bmad-testarch-automate\steps-v                                                                                 |          1 |         40 |          0 |         28 |         68 |
| _bmad\tea\workflows\testarch\bmad-testarch-ci                                                                                               |         65 |     18,242 |        230 |      5,327 |     23,799 |
| _bmad\tea\workflows\testarch\bmad-testarch-ci (Files)                                                                                       |         14 |      1,073 |        228 |        278 |      1,579 |
| _bmad\tea\workflows\testarch\bmad-testarch-ci\resources                                                                                     |         43 |     16,513 |          2 |      4,706 |     21,221 |
| _bmad\tea\workflows\testarch\bmad-testarch-ci\resources (Files)                                                                             |          1 |         43 |          0 |          1 |         44 |
| _bmad\tea\workflows\testarch\bmad-testarch-ci\resources\knowledge                                                                           |         42 |     16,470 |          2 |      4,705 |     21,177 |
| _bmad\tea\workflows\testarch\bmad-testarch-ci\steps-c                                                                                       |          5 |        538 |          0 |        252 |        790 |
| _bmad\tea\workflows\testarch\bmad-testarch-ci\steps-e                                                                                       |          2 |         70 |          0 |         57 |        127 |
| _bmad\tea\workflows\testarch\bmad-testarch-ci\steps-v                                                                                       |          1 |         48 |          0 |         34 |         82 |
| _bmad\tea\workflows\testarch\bmad-testarch-framework                                                                                        |         61 |     17,697 |         10 |      5,307 |     23,014 |
| _bmad\tea\workflows\testarch\bmad-testarch-framework (Files)                                                                                |          9 |        489 |          8 |        208 |        705 |
| _bmad\tea\workflows\testarch\bmad-testarch-framework\resources                                                                              |         43 |     16,513 |          2 |      4,706 |     21,221 |
| _bmad\tea\workflows\testarch\bmad-testarch-framework\resources (Files)                                                                      |          1 |         43 |          0 |          1 |         44 |
| _bmad\tea\workflows\testarch\bmad-testarch-framework\resources\knowledge                                                                    |         42 |     16,470 |          2 |      4,705 |     21,177 |
| _bmad\tea\workflows\testarch\bmad-testarch-framework\steps-c                                                                                |          6 |        585 |          0 |        308 |        893 |
| _bmad\tea\workflows\testarch\bmad-testarch-framework\steps-e                                                                                |          2 |         70 |          0 |         57 |        127 |
| _bmad\tea\workflows\testarch\bmad-testarch-framework\steps-v                                                                                |          1 |         40 |          0 |         28 |         68 |
| _bmad\tea\workflows\testarch\bmad-testarch-nfr                                                                                              |         67 |     18,514 |         12 |      5,615 |     24,141 |
