"filename", "language", "YAML", "Markdown", "HTML", "TypeScript", "CSV", "Skill", "Python", "JSON", "PowerShell", "Groovy", "JavaScript", "PostCSS", "C#", "XML", "ASP.NET Razor", "censitive", "Mermaid Radar", "comment", "blank", "total"
"d:\workshops\eShop\.github\skills\bmad-agent-builder\scripts\generate-html-report.py", "Python", 0, 0, 0, 0, 0, 0, 486, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 30, 535
"d:\workshops\eShop\.github\skills\bmad-agent-builder\scripts\prepass-execution-deps.py", "Python", 0, 0, 0, 0, 0, 0, 249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 46, 338
"d:\workshops\eShop\.github\skills\bmad-agent-builder\scripts\prepass-prompt-metrics.py", "Python", 0, 0, 0, 0, 0, 0, 298, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 60, 404
"d:\workshops\eShop\.github\skills\bmad-agent-builder\scripts\prepass-structure-capabilities.py", "Python", 0, 0, 0, 0, 0, 0, 325, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 72, 446
"d:\workshops\eShop\.github\skills\bmad-agent-builder\scripts\scan-path-standards.py", "Python", 0, 0, 0, 0, 0, 0, 251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 45, 339
"d:\workshops\eShop\.github\skills\bmad-agent-builder\scripts\scan-scripts.py", "Python", 0, 0, 0, 0, 0, 0, 589, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 92, 746
"d:\workshops\eShop\.github\skills\bmad-agent-dev\SKILL.md", "Skill", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 63
"d:\workshops\eShop\.github\skills\bmad-agent-dev\bmad-skill-manifest.yaml", "YAML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\workshops\eShop\.github\skills\bmad-agent-pm\SKILL.md", "Skill", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 58
"d:\workshops\eShop\.github\skills\bmad-agent-pm\bmad-skill-manifest.yaml", "YAML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\workshops\eShop\.github\skills\bmad-agent-qa\SKILL.md", "Skill", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 60
"d:\workshops\eShop\.github\skills\bmad-agent-qa\bmad-skill-manifest.yaml", "YAML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\workshops\eShop\.github\skills\bmad-agent-quick-flow-solo-dev\SKILL.md", "Skill", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 52
"d:\workshops\eShop\.github\skills\bmad-agent-quick-flow-solo-dev\bmad-skill-manifest.yaml", "YAML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\workshops\eShop\.github\skills\bmad-agent-sm\SKILL.md", "Skill", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 54
"d:\workshops\eShop\.github\skills\bmad-agent-sm\bmad-skill-manifest.yaml", "YAML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
